Ruta de Archivo,Lenguaje,Categoría,Líneas,Caracteres,Tokens,Costo Lectura USD,Impacto (Blast Radius),Componentes,Funciones,Hooks,Clases,Imports,Exports
.agents/skills/accessibility/SKILL.md,Markdown,Documentación,440,12238,3194,0.015970,0,0,0,0,0,0,0
.agents/skills/accessibility/references/A11Y-PATTERNS.md,Markdown,Documentación,233,5996,1517,0.007585,0,0,0,0,0,0,0
.agents/skills/accessibility/references/WCAG.md,Markdown,Documentación,191,9075,2487,0.012435,0,0,0,0,0,0,0
.agents/skills/clerk-nextjs-patterns/SKILL.md,Markdown,Documentación,117,3985,1042,0.005210,0,0,0,0,0,0,0
.agents/skills/clerk-nextjs-patterns/references/api-routes.md,Markdown,Documentación,50,1469,387,0.001935,0,0,0,0,0,0,0
.agents/skills/clerk-nextjs-patterns/references/caching-auth.md,Markdown,Documentación,56,1384,376,0.001880,0,0,0,0,0,0,0
.agents/skills/clerk-nextjs-patterns/references/middleware-strategies.md,Markdown,Documentación,68,1843,474,0.002370,0,0,0,0,0,0,0
.agents/skills/clerk-nextjs-patterns/references/server-actions.md,Markdown,Documentación,56,1595,406,0.002030,0,0,0,0,0,0,0
.agents/skills/clerk-nextjs-patterns/references/server-vs-client.md,Markdown,Documentación,104,2390,635,0.003175,0,0,0,0,0,0,0
.agents/skills/frontend-design/LICENSE.txt,Otros,Documentación,177,10174,2018,0.010090,0,0,0,0,0,0,0
.agents/skills/frontend-design/SKILL.md,Markdown,Documentación,42,4440,857,0.004285,0,0,0,0,0,0,0
.agents/skills/next-best-practices/SKILL.md,Markdown,Documentación,153,4002,1017,0.005085,0,0,0,0,0,0,0
.agents/skills/next-best-practices/async-patterns.md,Markdown,Documentación,87,1664,417,0.002085,0,0,0,0,0,0,0
.agents/skills/next-best-practices/bundling.md,Markdown,Documentación,180,4456,1100,0.005500,0,0,0,0,0,0,0
.agents/skills/next-best-practices/data-patterns.md,Markdown,Documentación,297,6601,1636,0.008180,0,0,0,0,0,0,0
.agents/skills/next-best-practices/debug-tricks.md,Markdown,Documentación,105,2953,780,0.003900,0,0,0,0,0,0,0
.agents/skills/next-best-practices/directives.md,Markdown,Documentación,73,1476,360,0.001800,0,0,0,0,0,0,0
.agents/skills/next-best-practices/error-handling.md,Markdown,Documentación,227,4686,1210,0.006050,0,0,0,0,0,0,0
.agents/skills/next-best-practices/file-conventions.md,Markdown,Documentación,140,3236,937,0.004685,0,0,0,0,0,0,0
